,price,gain,cum_gain
0,282.2600,0.0,0.0
1,266.7700,-0.05487848083327432,-0.05487848083327432
2,267.8700,0.004123402181654695,-0.05098136469921344
3,267.2000,-0.002501213275096188,-0.053355062708141436
4,265.4100,-0.0066991017964070495,-0.05969673350811296
5,253.0100,-0.04672016879544868,-0.10362786083752569
6,264.8200,0.04667799691711791,-0.06178700488910933
7,263.8200,-0.003776149837625557,-0.0653298377382555
8,266.7900,0.011257675687969173,-0.05480762417629126
9,266.1500,-0.0023988905131378355,-0.057075037199744966
10,259.9900,-0.023144843133571177,-0.0788988875504853
11,266.2800,0.024193238201469146,-0.05661446892935597
12,270.1300,0.014458464773922274,-0.042974562460143105
13,246.1300,-0.08884611113167734,-0.12800255083965137
14,242.5100,-0.01470767480599685,-0.14082760575356054
15,241.1400,-0.005649251577254565,-0.14568128675689082
16,237.3700,-0.015634071493738,-0.15903776659817184
17,238.1700,0.003370265829717247,-0.15620350031885497
18,242.5100,0.01822227820464376,-0.14082760575356054
19,243.1500,0.00263906643025036,-0.13856019273010695
20,254.9900,0.048694221673863884,-0.0966130517962162
21,260.7200,0.022471469469391027,-0.07631261957060853
22,255.2500,-0.02098036207425601,-0.09569191525543821
23,242.1800,-0.05120470127326148,-0.14199674059377873
24,230.7700,-0.04711371706994796,-0.1824204634025366
25,218.8700,-0.05156649477835076,-0.22458017430737612
26,220.0300,0.0052999497418558805,-0.22047048820236656
27,224.8400,0.021860655365177485,-0.20342946219797345
28,242.9900,0.08072407045009787,-0.1391270459859703
29,248.4800,0.022593522367175524,-0.11967689364415787
30,249.0600,0.00233419188667101,-0.11762205059165305
31,238.6300,-0.041877459246767876,-0.1545737972082477
32,247.6900,0.03796672673176048,-0.12247573159498333
33,245.5700,-0.008559085954216982,-0.12998653723517326
34,241.9300,-0.014822657490735783,-0.1428824488060653
35,248.1700,0.025792584631918244,-0.12077517182739321
36,248.9100,0.0029818269734456586,-0.11815347551902501
37,248.4800,-0.0017275320396930892,-0.11967689364415789
38,250.2400,0.007083065035415404,-0.11344150782966055
39,253.1900,0.011788682864450083,-0.10299015092467936
40,253.5700,0.001500849164658934,-0.10164387444200383
41,262.2500,0.03423117876720435,-0.07089208531141498
42,262.0700,-0.000686367969494783,-0.07152979522426132
43,260.6200,-0.005532872896554313,-0.07666690285552324
44,264.2000,0.013736474560662973,-0.06398356125557998
45,260.9400,-0.012339137017411019,-0.07553319634379649
46,261.0600,0.0004598758335249657,-0.07510805640189894
47,263.1200,0.007890906305063979,-0.0678098207326578
48,256.9100,-0.023601398601398524,-0.08981081272585549
49,248.4300,-0.03300766805496095,-0.11985403528661515
50,246.6500,-0.0071649961759851916,-0.12616027775809535
51,248.4000,0.007095073991485911,-0.11996032027208954
52,239.8800,-0.0342995169082126,-0.150145256146815
53,247.5700,0.03205769551442387,-0.12290087153688092
54,246.1500,-0.005735751504624904,-0.12793169418266845
55,241.4600,-0.01905342270972983,-0.144547580245164
56,231.9600,-0.03934399072310114,-0.1782044923120527
57,226.7200,-0.02259010174167964,-0.19676893644157872
58,220.6900,-0.026596683133380386,-0.21813221852193018
59,215.5800,-0.023154651320857245,-0.2362360943810671
60,219.2500,0.01702384265701822,-0.22323389782470068
61,216.8800,-0.0108095781071836,-0.23163041167717713
62,221.3100,0.02042604205090376,-0.21593566215545953
63,227.0100,0.025755727260403906,-0.19574151491532638
64,228.1000,0.004801550592484927,-0.19187982710975704
65,213.0300,-0.06606751424813675,-0.2452703181463899
66,210.0900,-0.01380087311646246,-0.25568624672287965
67,211.7200,0.007758579656337738,-0.2499114291787714
68,209.0900,-0.012422066880785922,-0.25922907957202584
69,215.2600,0.029508823951408424,-0.23736980089279397
70,210.3500,-0.02280962556907924,-0.2547651101821017
71,212.9600,0.01240789160922279,-0.2455183164458301
72,211.6300,-0.006245304282494424,-0.25023028413519455
73,206.9300,-0.02220857156357789,-0.26688159852618154
74,213.7900,0.033151307205335066,-0.24257776518103882
75,208.3500,-0.02544553066092894,-0.261850775880394
76,231.6300,0.1117350611951044,-0.179373627152271
77,231.7700,0.0006044122091266882,-0.17887763055339048
78,232.3600,0.0025456271303447527,-0.17678735917239422
79,225.3300,-0.030254777070063698,-0.20169347410189184
80,216.5000,-0.03918697022145303,-0.23297668815985262
81,219.0800,0.011916859122401905,-0.22383617940905542
82,212.9400,-0.028026291765565155,-0.245589173102813
83,207.1900,-0.027002911618296235,-0.2659604619854035
84,214.3100,0.03436459288575706,-0.24073549209948272
85,214.0000,-0.0014465027296906457,-0.24183377028271805
86,221.0700,0.03303738317757006,-0.2167859420392546
87,221.8000,0.003302121499977465,-0.21419967405937784
88,220.0100,-0.00807033363390451,-0.22054134485934956
89,217.7500,-0.01027226035180215,-0.2285481470984199
90,218.2500,0.002296211251435132,-0.2267767306738468
91,229.6400,0.052187857961053775,-0.18642386452207188
92,231.6100,0.00857864483539465,-0.17944448380925382
93,230.2600,-0.005828763870299307,-0.18422730815560123
94,237.1900,0.03009641275080347,-0.1596754765110182
95,231.9900,-0.021923352586533953,-0.1780982073265783
96,232.7100,0.003103582050950467,-0.17554736767519305
97,230.3800,-0.010012461862403904,-0.18380216821370368
98,231.1300,0.003255490928031947,-0.18114504357684405
99,226.7200,-0.019080171332150724,-0.19676893644157867
100,224.5200,-0.009703599153140388,-0.2045631687097002
101,227.0700,0.011357562800641291,-0.1955289449443775
102,217.0200,-0.044259479455674385,-0.23113441507829652
103,218.5800,0.0071882775781034105,-0.22560759583362847
104,221.0900,0.011483209808765627,-0.2167150853822716
