,price,gain,cum_gain
0,44.4700,0.0,0.0
1,46.8700,0.053968967843489965,0.053968967843489965
2,45.5300,-0.02858971623639847,0.0238362941308748
3,46.2000,0.014715572150230654,0.03890263098718246
4,45.5400,-0.014285714285714365,0.02406116483022263
5,43.9300,-0.03535353535353534,-0.012143017764785227
6,45.4700,0.03505577054404733,0.022487069934787503
7,44.0700,-0.030789531559269816,-0.00899482797391496
8,45.1900,0.025414113909689073,0.01619069035304698
9,47.6000,0.05333038282805939,0.07038452889588492
10,48.9600,0.02857142857142856,0.10096694400719591
11,49.6900,0.014910130718954185,0.11738250505959072
12,51.6400,0.03924330851277929,0.1612322914324264
13,44.6000,-0.13632842757552283,0.002923319091522436
14,42.6800,-0.043049327354260127,-0.0402518551832696
15,43.1500,0.011012183692596038,-0.029682932313919497
16,42.9300,-0.0050984936268829405,-0.03463008769957272
17,41.1800,-0.0407640344747263,-0.07398246008545084
18,42.2500,0.025983487129674607,-0.04992129525522821
19,44.6500,0.05680473372781062,0.004047672588261754
20,44.9300,0.00627099664053754,0.010344052170002279
21,43.7700,-0.02581793901624742,-0.015740948954351144
22,43.1000,-0.01530728809687004,-0.030807285810658808
23,41.4100,-0.03921113689095139,-0.06881043400044978
24,38.6500,-0.06665056749577393,-0.13087474702046323
25,37.3600,-0.03337645536869338,-0.15988306723633908
26,36.7700,-0.015792291220556646,-0.17315043849786363
27,38.4000,0.0443296165352188,-0.13649651450416012
28,34.9700,-0.08932291666666667,-0.21362716438048124
29,33.8000,-0.03345724907063202,-0.23993703620418266
30,34.4900,0.020414201183432096,-0.22442095794917918
31,32.8900,-0.04639025804581042,-0.2604002698448392
32,33.5700,0.020674977196716317,-0.24510906228918372
33,33.0500,-0.01549002085195124,-0.2568023386552733
34,31.8800,-0.0354009077155824,-0.2831122104789746
35,35.4600,0.11229611041405275,-0.20260850011243534
36,35.9500,0.01381838691483367,-0.1915898358443894
37,34.2300,-0.04784422809457596,-0.23026759613222403
38,32.4000,-0.053461875547765075,-0.2714189341128851
39,32.0000,-0.012345679012345635,-0.2804137620868001
40,33.0400,0.03249999999999997,-0.2570272093546211
41,37.1000,0.12288135593220346,-0.1657297054193838
42,39.8800,0.07493261455525609,-0.10321565100067455
43,40.7200,0.021063189568706023,-0.08432651225545314
44,38.0900,-0.06458742632612956,-0.14346750618394416
45,39.4900,0.03675505381990019,-0.1119856082752417
46,39.1100,-0.009622689288427515,-0.12053069485046101
47,38.7900,-0.008182050626438259,-0.12772655722959303
48,37.6000,-0.030678009796339206,-0.1544861704519901
49,36.0500,-0.041223404255319264,-0.1893411288509108
50,35.3000,-0.020804438280166437,-0.20620643130200145
51,37.6900,0.06770538243626065,-0.1524623341578593
52,38.0500,0.009551605200318372,-0.14436698898133582
53,37.3000,-0.01971090670170828,-0.16123229143242646
54,38.1000,0.02144772117962478,-0.14324263548459637
55,36.4000,-0.04461942257217855,-0.18147065437373516
56,35.2500,-0.03159340659340656,-0.20733078479874076
57,34.6700,-0.01645390070921981,-0.22037328536091746
58,35.3600,0.019901932506489695,-0.20485720710591415
59,36.1000,0.02092760180995481,-0.18821677535417136
60,36.1700,0.0019390581717451602,-0.18664268045873622
61,35.6000,-0.015758916228919,-0.1994603103215651
62,37.1000,0.042134831460674156,-0.16572970541938387
63,36.9000,-0.005390835579514901,-0.17022711940634144
64,37.4100,0.01382113821138206,-0.15875871373959988
65,38.5000,0.029136594493451042,-0.13424780751068144
