,alpha,beta,l1,l2,cum_gain
60,0.05,0.1,1.5,0.05,0.1277292817585951
61,0.05,0.1,1.5,0.1,0.1277292817585951
62,0.05,0.1,1.5,0.5,0.12137178422094415
63,0.05,0.1,1.5,1.0,0.23830262128524168
64,0.05,0.1,1.5,1.5,0.2209536050693773
65,0.05,0.1,1.5,2.0,0.21718144564605418
66,0.05,0.1,2.0,0.05,-0.2772550697040289
67,0.05,0.1,2.0,0.1,-0.2772550697040289
68,0.05,0.1,2.0,0.5,-0.2835851073332526
69,0.05,0.1,2.0,1.0,-0.28769323175963213
70,0.05,0.1,2.0,1.5,-0.27007559199300646
71,0.05,0.1,2.0,2.0,-0.32219454376435486
72,0.05,0.5,0.05,0.05,-0.10452766484707124
73,0.05,0.5,0.05,0.1,-0.10452766484707124
74,0.05,0.5,0.05,0.5,-0.05079123134744149
75,0.05,0.5,0.05,1.0,-0.07844025194874828
76,0.05,0.5,0.05,1.5,-0.17285192757266452
77,0.05,0.5,0.05,2.0,-0.17285192757266452
78,0.05,0.5,0.1,0.05,0.006335288017305964
79,0.05,0.5,0.1,0.1,0.006335288017305964
80,0.05,0.5,0.1,0.5,0.006335288017305964
81,0.05,0.5,0.1,1.0,-0.022977741981048214
82,0.05,0.5,0.1,1.5,-0.12307142412861166
83,0.05,0.5,0.1,2.0,-0.12307142412861166
84,0.05,0.5,0.5,0.05,-0.11985794727466097
85,0.05,0.5,0.5,0.1,-0.178069343836264
86,0.05,0.5,0.5,0.5,-0.17399262059298481
87,0.05,0.5,0.5,1.0,-0.17399262059298481
88,0.05,0.5,0.5,1.5,-0.16573192120437252
89,0.05,0.5,0.5,2.0,-0.08078659273157103
90,0.05,0.5,1.0,0.05,-0.05249107103110438
91,0.05,0.5,1.0,0.1,-0.05249107103110438
92,0.05,0.5,1.0,0.5,-0.12041773481160371
93,0.05,0.5,1.0,1.0,-0.07143320986452481
94,0.05,0.5,1.0,1.5,-0.09421253662168519
95,0.05,0.5,1.0,2.0,-0.09532585645588748
96,0.05,0.5,1.5,0.05,-0.3677104950983363
97,0.05,0.5,1.5,0.1,-0.3677104950983363
98,0.05,0.5,1.5,0.5,-0.3677104950983363
99,0.05,0.5,1.5,1.0,-0.3784011218011466
100,0.05,0.5,1.5,1.5,-0.3771109545711966
101,0.05,0.5,1.5,2.0,-0.4319735001241484
102,0.05,0.5,2.0,0.05,-0.5482348249221165
103,0.05,0.5,2.0,0.1,-0.5482348249221165
104,0.05,0.5,2.0,0.5,-0.5253227596746028
105,0.05,0.5,2.0,1.0,-0.48546321776266105
106,0.05,0.5,2.0,1.5,-0.5817244347602679
107,0.05,0.5,2.0,2.0,-0.5720707305031061
108,0.05,1.0,0.05,0.05,-0.3621898765722319
109,0.05,1.0,0.05,0.1,-0.3621898765722319
110,0.05,1.0,0.05,0.5,-0.400097620853731
111,0.05,1.0,0.05,1.0,-0.4615202298244198
112,0.05,1.0,0.05,1.5,-0.6324723390448195
113,0.05,1.0,0.05,2.0,-0.6134997448822521
114,0.05,1.0,0.1,0.05,-0.4766362109167058
115,0.05,1.0,0.1,0.1,-0.5234636053199709
116,0.05,1.0,0.1,0.5,-0.5341435682381925
117,0.05,1.0,0.1,1.0,-0.5934917006483031
118,0.05,1.0,0.1,1.5,-0.575874150039377
119,0.05,1.0,0.1,2.0,-0.5921384434137004
120,0.05,1.0,0.5,0.05,-0.44559394412491643
121,0.05,1.0,0.5,0.1,-0.522797605398215
122,0.05,1.0,0.5,0.5,-0.5315384720735176
123,0.05,1.0,0.5,1.0,-0.6061269813832149
124,0.05,1.0,0.5,1.5,-0.6597994967137079
125,0.05,1.0,0.5,2.0,-0.6333604336809879
126,0.05,1.0,1.0,0.05,-0.5581464441050877
127,0.05,1.0,1.0,0.1,-0.5581464441050877
128,0.05,1.0,1.0,0.5,-0.6555242231911033
129,0.05,1.0,1.0,1.0,-0.6624703231856874
130,0.05,1.0,1.0,1.5,-0.702483226274206
131,0.05,1.0,1.0,2.0,-0.6958647931174179
132,0.05,1.0,1.5,0.05,-0.5645846535976017
133,0.05,1.0,1.5,0.1,-0.5645846535976017
134,0.05,1.0,1.5,0.5,-0.5418690459308242
135,0.05,1.0,1.5,1.0,-0.5356195146945371
136,0.05,1.0,1.5,1.5,-0.5328249520483025
137,0.05,1.0,1.5,2.0,-0.5074517656503469
138,0.05,1.0,2.0,0.05,-0.7077950992003325
139,0.05,1.0,2.0,0.1,-0.7077950992003325
140,0.05,1.0,2.0,0.5,-0.715563655035331
141,0.05,1.0,2.0,1.0,-0.6608163872944108
142,0.05,1.0,2.0,1.5,-0.6606325039591601
143,0.05,1.0,2.0,2.0,-0.6193439241596405
144,0.05,1.5,0.05,0.05,-0.5688718506068846
145,0.05,1.5,0.05,0.1,-0.5688718506068846
146,0.05,1.5,0.05,0.5,-0.6032166367956845
147,0.05,1.5,0.05,1.0,-0.6111780413803248
148,0.05,1.5,0.05,1.5,-0.6129837660699051
149,0.05,1.5,0.05,2.0,-0.6497839505820031
150,0.05,1.5,0.1,0.05,-0.6181541842577704
151,0.05,1.5,0.1,0.1,-0.6181541842577704
152,0.05,1.5,0.1,0.5,-0.6594307315685726
153,0.05,1.5,0.1,1.0,-0.6724852467093761
154,0.05,1.5,0.1,1.5,-0.6701377743729983
155,0.05,1.5,0.1,2.0,-0.6222461380956699
156,0.05,1.5,0.5,0.05,-0.5926687380609332
157,0.05,1.5,0.5,0.1,-0.5926687380609332
158,0.05,1.5,0.5,0.5,-0.5811101022646012
159,0.05,1.5,0.5,1.0,-0.5811101022646012
160,0.05,1.5,0.5,1.5,-0.590132093924302
161,0.05,1.5,0.5,2.0,-0.6011729442485366
162,0.05,1.5,1.0,0.05,-0.5730496821406159
163,0.05,1.5,1.0,0.1,-0.5697504255801205
164,0.05,1.5,1.0,0.5,-0.5989885304718322
165,0.05,1.5,1.0,1.0,-0.616887676982187
166,0.05,1.5,1.0,1.5,-0.6043159863587382
167,0.05,1.5,1.0,2.0,-0.5804772474669782
168,0.05,1.5,1.5,0.05,-0.6173770563967002
169,0.05,1.5,1.5,0.1,-0.6313796699868259
170,0.05,1.5,1.5,0.5,-0.6223845243686054
171,0.05,1.5,1.5,1.0,-0.5852175899347868
172,0.05,1.5,1.5,1.5,-0.5844814687411939
173,0.05,1.5,1.5,2.0,-0.5750822175178698
174,0.05,1.5,2.0,0.05,-0.6576166209049161
175,0.05,1.5,2.0,0.1,-0.6576166209049161
176,0.05,1.5,2.0,0.5,-0.6390726576404774
177,0.05,1.5,2.0,1.0,-0.6508214660791847
178,0.05,1.5,2.0,1.5,-0.6736813599819899
179,0.05,1.5,2.0,2.0,-0.6488984773235915
180,0.05,2.0,0.05,0.05,-0.7351691854799701
181,0.05,2.0,0.05,0.1,-0.7351691854799701
182,0.05,2.0,0.05,0.5,-0.7491886524911794
183,0.05,2.0,0.05,1.0,-0.7523343634622973
184,0.05,2.0,0.05,1.5,-0.6820649934679577
185,0.05,2.0,0.05,2.0,-0.6675702603803362
186,0.05,2.0,0.1,0.05,-0.6503850497238051
187,0.05,2.0,0.1,0.1,-0.6503850497238051
188,0.05,2.0,0.1,0.5,-0.6607989527841895
189,0.05,2.0,0.1,1.0,-0.6827344387555229
190,0.05,2.0,0.1,1.5,-0.6891421924658053
191,0.05,2.0,0.1,2.0,-0.7225041860299826
192,0.05,2.0,0.5,0.05,-0.5117288767417536
193,0.05,2.0,0.5,0.1,-0.5117288767417536
194,0.05,2.0,0.5,0.5,-0.47217943358311143
195,0.05,2.0,0.5,1.0,-0.43376652347553135
196,0.05,2.0,0.5,1.5,-0.44419375372756403
197,0.05,2.0,0.5,2.0,-0.4666751948286747
198,0.05,2.0,1.0,0.05,-0.45918342772561554
199,0.05,2.0,1.0,0.1,-0.4583361935135634
200,0.05,2.0,1.0,0.5,-0.47663357292830333
201,0.05,2.0,1.0,1.0,-0.47936739222220337
202,0.05,2.0,1.0,1.5,-0.4622204499896101
203,0.05,2.0,1.0,2.0,-0.4622204499896101
204,0.05,2.0,1.5,0.05,-0.23103036628932241
205,0.05,2.0,1.5,0.1,-0.22623890312755335
206,0.05,2.0,1.5,0.5,-0.18629713316112578
207,0.05,2.0,1.5,1.0,-0.20774473319500827
208,0.05,2.0,1.5,1.5,-0.12470254873015431
209,0.05,2.0,1.5,2.0,-0.09565164485692611
210,0.05,2.0,2.0,0.05,-0.4236672730633052
211,0.05,2.0,2.0,0.1,-0.4236672730633052
212,0.05,2.0,2.0,0.5,-0.4280418710643766
213,0.05,2.0,2.0,1.0,-0.3494152356232232
214,0.05,2.0,2.0,1.5,-0.3494152356232232
215,0.05,2.0,2.0,2.0,-0.33714366005214663
216,0.1,0.05,0.05,0.05,-0.3569237704697805
217,0.1,0.05,0.05,0.1,-0.3569237704697805
218,0.1,0.05,0.05,0.5,-0.34841742041452034
219,0.1,0.05,0.05,1.0,-0.3583105870259506
220,0.1,0.05,0.05,1.5,-0.3515855565178997
221,0.1,0.05,0.05,2.0,-0.3740511899618594
222,0.1,0.05,0.1,0.05,-0.31822131860409025
223,0.1,0.05,0.1,0.1,-0.3189375443775593
224,0.1,0.05,0.1,0.5,-0.294375258584757
225,0.1,0.05,0.1,1.0,-0.31969159836189465
226,0.1,0.05,0.1,1.5,-0.3226842200746603
227,0.1,0.05,0.1,2.0,-0.3401155192895628
228,0.1,0.05,0.5,0.05,-0.4997987072757739
229,0.1,0.05,0.5,0.1,-0.5370278518344116
230,0.1,0.05,0.5,0.5,-0.37148133199553
231,0.1,0.05,0.5,1.0,-0.21796145874316253
232,0.1,0.05,0.5,1.5,-0.20754788705891455
233,0.1,0.05,0.5,2.0,-0.3320538510715485
234,0.1,0.05,1.0,0.05,-0.4672323184350836
235,0.1,0.05,1.0,0.1,-0.44412229051191077
236,0.1,0.05,1.0,0.5,-0.2958778497889475
237,0.1,0.05,1.0,1.0,-0.20999903134150805
238,0.1,0.05,1.0,1.5,-0.1275473579194677
239,0.1,0.05,1.0,2.0,-0.3835865292351255
240,0.1,0.05,1.5,0.05,-0.014902565039884522
241,0.1,0.05,1.5,0.1,0.012447790543086378
242,0.1,0.05,1.5,0.5,0.07556121409199971
243,0.1,0.05,1.5,1.0,0.01518944056660592
244,0.1,0.05,1.5,1.5,-0.18307650236888337
245,0.1,0.05,1.5,2.0,-0.10805576287485333
246,0.1,0.05,2.0,0.05,-0.5490658467804157
247,0.1,0.05,2.0,0.1,-0.5262655689115314
248,0.1,0.05,2.0,0.5,-0.46881436654692143
249,0.1,0.05,2.0,1.0,-0.47374927698476327
250,0.1,0.05,2.0,1.5,-0.3986907734282609
251,0.1,0.05,2.0,2.0,-0.35323025701595684
252,0.1,0.1,0.05,0.05,-0.3344313769924917
253,0.1,0.1,0.05,0.1,-0.3344313769924917
254,0.1,0.1,0.05,0.5,-0.3583105870259506
255,0.1,0.1,0.05,1.0,-0.3515855565178997
256,0.1,0.1,0.05,1.5,-0.3740511899618594
257,0.1,0.1,0.05,2.0,-0.38974412318073487
258,0.1,0.1,0.1,0.05,-0.294375258584757
259,0.1,0.1,0.1,0.1,-0.2996976051126564
260,0.1,0.1,0.1,0.5,-0.31969159836189465
261,0.1,0.1,0.1,1.0,-0.3226842200746603
262,0.1,0.1,0.1,1.5,-0.3401155192895628
263,0.1,0.1,0.1,2.0,-0.37114467333441764
264,0.1,0.1,0.5,0.05,-0.3342730268261325
265,0.1,0.1,0.5,0.1,-0.29389955658619404
266,0.1,0.1,0.5,0.5,-0.21796145874316253
267,0.1,0.1,0.5,1.0,-0.20754788705891455
268,0.1,0.1,0.5,1.5,-0.3320538510715485
269,0.1,0.1,0.5,2.0,-0.3778409641263326
270,0.1,0.1,1.0,0.05,-0.2958778497889475
271,0.1,0.1,1.0,0.1,-0.2881131566720475
272,0.1,0.1,1.0,0.5,-0.20999903134150805
273,0.1,0.1,1.0,1.0,-0.1275473579194677
274,0.1,0.1,1.0,1.5,-0.3835865292351255
275,0.1,0.1,1.0,2.0,-0.3713535256938488
276,0.1,0.1,1.5,0.05,0.08280260617067056
277,0.1,0.1,1.5,0.1,0.08280260617067056
278,0.1,0.1,1.5,0.5,0.01518944056660592
279,0.1,0.1,1.5,1.0,-0.18307650236888337
280,0.1,0.1,1.5,1.5,-0.10805576287485333
281,0.1,0.1,1.5,2.0,-0.10182701343374444
282,0.1,0.1,2.0,0.05,-0.46881436654692143
283,0.1,0.1,2.0,0.1,-0.46881436654692143
284,0.1,0.1,2.0,0.5,-0.47374927698476327
285,0.1,0.1,2.0,1.0,-0.3986907734282609
286,0.1,0.1,2.0,1.5,-0.35323025701595684
287,0.1,0.1,2.0,2.0,-0.2999422245871783
288,0.1,0.5,0.05,0.05,-0.5739657443907232
289,0.1,0.5,0.05,0.1,-0.5885625408504667
290,0.1,0.5,0.05,0.5,-0.5151363935350377
291,0.1,0.5,0.05,1.0,-0.4849704264069483
292,0.1,0.5,0.05,1.5,-0.4862973401519031
293,0.1,0.5,0.05,2.0,-0.5959236674668605
294,0.1,0.5,0.1,0.05,-0.5513503961267752
295,0.1,0.5,0.1,0.1,-0.5513503961267752
296,0.1,0.5,0.1,0.5,-0.5190205832893735
297,0.1,0.5,0.1,1.0,-0.48613558542853236
298,0.1,0.5,0.1,1.5,-0.5643503335094416
299,0.1,0.5,0.1,2.0,-0.5817100648656612
300,0.1,0.5,0.5,0.05,-0.46090275881640763
301,0.1,0.5,0.5,0.1,-0.4448296673095115
302,0.1,0.5,0.5,0.5,-0.44646213402574186
303,0.1,0.5,0.5,1.0,-0.3521720294982514
304,0.1,0.5,0.5,1.5,-0.39979325178948905
305,0.1,0.5,0.5,2.0,-0.21682170359850972
306,0.1,0.5,1.0,0.05,-0.46442746898106274
307,0.1,0.5,1.0,0.1,-0.46442746898106274
308,0.1,0.5,1.0,0.5,-0.3785390752110286
309,0.1,0.5,1.0,1.0,-0.3439338355274327
310,0.1,0.5,1.0,1.5,-0.28029282710483494
311,0.1,0.5,1.0,2.0,-0.20459202063454723
312,0.1,0.5,1.5,0.05,-0.43718934089611133
313,0.1,0.5,1.5,0.1,-0.44012656414723106
314,0.1,0.5,1.5,0.5,-0.41177423559096954
315,0.1,0.5,1.5,1.0,-0.40737295230545156
316,0.1,0.5,1.5,1.5,-0.38654977136407087
317,0.1,0.5,1.5,2.0,-0.38245250945184783
318,0.1,0.5,2.0,0.05,-0.2982278003711972
319,0.1,0.5,2.0,0.1,-0.2982278003711972
320,0.1,0.5,2.0,0.5,-0.32957497936729724
321,0.1,0.5,2.0,1.0,-0.3283994136171906
322,0.1,0.5,2.0,1.5,-0.3097530196713521
323,0.1,0.5,2.0,2.0,-0.3356217385056282
324,0.1,1.0,0.05,0.05,-0.6639201543065387
325,0.1,1.0,0.05,0.1,-0.6791378632883077
326,0.1,1.0,0.05,0.5,-0.620991245772992
327,0.1,1.0,0.05,1.0,-0.5747182600629326
328,0.1,1.0,0.05,1.5,-0.5598552441070301
329,0.1,1.0,0.05,2.0,-0.5577422634338371
330,0.1,1.0,0.1,0.05,-0.5278977098819306
331,0.1,1.0,0.1,0.1,-0.5195720298635269
332,0.1,1.0,0.1,0.5,-0.5092260052286129
333,0.1,1.0,0.1,1.0,-0.5731801057130685
334,0.1,1.0,0.1,1.5,-0.523621911270137
335,0.1,1.0,0.1,2.0,-0.5251366608168081
336,0.1,1.0,0.5,0.05,-0.2512915922127539
337,0.1,1.0,0.5,0.1,-0.2512915922127539
338,0.1,1.0,0.5,0.5,-0.2512915922127539
339,0.1,1.0,0.5,1.0,-0.3168550966129044
340,0.1,1.0,0.5,1.5,-0.32638346990386385
341,0.1,1.0,0.5,2.0,-0.3322323156537786
