,alpha,beta,l1,l2,cum_gain
100,0.05,0.5,1.5,1.5,1.7770557453791775
101,0.05,0.5,1.5,2.0,1.4627250955098576
102,0.05,0.5,2.0,0.05,1.5915501111350505
103,0.05,0.5,2.0,0.1,1.49321924355489
104,0.05,0.5,2.0,0.5,1.6554913642157478
105,0.05,0.5,2.0,1.0,1.4722993877129118
106,0.05,0.5,2.0,1.5,1.4456997419107256
107,0.05,0.5,2.0,2.0,1.4686385656495984
108,0.05,1.0,0.05,0.05,1.3131002160479357
109,0.05,1.0,0.05,0.1,1.3008336192233172
110,0.05,1.0,0.05,0.5,1.1826795727973105
111,0.05,1.0,0.05,1.0,1.4006629269767763
112,0.05,1.0,0.05,1.5,1.4213204991375912
113,0.05,1.0,0.05,2.0,1.4790580372470894
114,0.05,1.0,0.1,0.05,1.7150865300012628
115,0.05,1.0,0.1,0.1,1.9402127585914217
116,0.05,1.0,0.1,0.5,1.4805920121827456
117,0.05,1.0,0.1,1.0,1.541916335183114
118,0.05,1.0,0.1,1.5,1.561826236019948
119,0.05,1.0,0.1,2.0,1.5636873192729848
120,0.05,1.0,0.5,0.05,1.2358713396162915
121,0.05,1.0,0.5,0.1,1.249066100823522
122,0.05,1.0,0.5,0.5,1.4030891096501248
123,0.05,1.0,0.5,1.0,1.3818260402017868
124,0.05,1.0,0.5,1.5,1.5739939335937059
125,0.05,1.0,0.5,2.0,1.6764749721151473
126,0.05,1.0,1.0,0.05,1.4789217536702879
127,0.05,1.0,1.0,0.1,1.4527341459953076
128,0.05,1.0,1.0,0.5,1.4720023141428182
129,0.05,1.0,1.0,1.0,1.4172129141528294
130,0.05,1.0,1.0,1.5,1.5612815139259324
131,0.05,1.0,1.0,2.0,1.7237896640092256
132,0.05,1.0,1.5,0.05,1.4749237754686022
133,0.05,1.0,1.5,0.1,1.5011304265944576
134,0.05,1.0,1.5,0.5,1.4664668312624656
135,0.05,1.0,1.5,1.0,1.4981760917300049
136,0.05,1.0,1.5,1.5,1.714067649330324
137,0.05,1.0,1.5,2.0,1.6528087505045077
138,0.05,1.0,2.0,0.05,1.6501203925582122
139,0.05,1.0,2.0,0.1,1.6497646629501754
140,0.05,1.0,2.0,0.5,1.5668360083724446
141,0.05,1.0,2.0,1.0,1.5972576866434773
142,0.05,1.0,2.0,1.5,1.548454004204807
143,0.05,1.0,2.0,2.0,1.559767567065276
144,0.05,1.5,0.05,0.05,1.4663174749375116
145,0.05,1.5,0.05,0.1,1.5218938984178618
146,0.05,1.5,0.05,0.5,1.5163135002855073
147,0.05,1.5,0.05,1.0,1.6036667460664953
148,0.05,1.5,0.05,1.5,1.0853010127822325
149,0.05,1.5,0.05,2.0,0.8216120065745581
150,0.05,1.5,0.1,0.05,1.6996844048447886
151,0.05,1.5,0.1,0.1,1.6759185237397325
152,0.05,1.5,0.1,0.5,1.7087377800601655
153,0.05,1.5,0.1,1.0,1.801114619011564
154,0.05,1.5,0.1,1.5,1.3795894069533379
155,0.05,1.5,0.1,2.0,1.1938009786429495
156,0.05,1.5,0.5,0.05,1.6109069799351161
157,0.05,1.5,0.5,0.1,1.606889214598852
158,0.05,1.5,0.5,0.5,1.732143953341607
159,0.05,1.5,0.5,1.0,1.505325491711292
160,0.05,1.5,0.5,1.5,1.216549626215103
161,0.05,1.5,0.5,2.0,1.3810744937435304
162,0.05,1.5,1.0,0.05,1.6557463547288223
163,0.05,1.5,1.0,0.1,1.7042318681430912
164,0.05,1.5,1.0,0.5,1.7092943076902638
165,0.05,1.5,1.0,1.0,1.1514499535508165
166,0.05,1.5,1.0,1.5,1.161305219387811
167,0.05,1.5,1.0,2.0,1.3471588771179903
168,0.05,1.5,1.5,0.05,1.7848543172688607
169,0.05,1.5,1.5,0.1,1.7384840098451724
170,0.05,1.5,1.5,0.5,1.3779841129166206
171,0.05,1.5,1.5,1.0,1.2282972587349634
172,0.05,1.5,1.5,1.5,1.326452401054978
173,0.05,1.5,1.5,2.0,1.084689642048081
174,0.05,1.5,2.0,0.05,1.437084406467587
175,0.05,1.5,2.0,0.1,1.3077709455780058
176,0.05,1.5,2.0,0.5,1.1549597778820915
177,0.05,1.5,2.0,1.0,1.2852802900979312
178,0.05,1.5,2.0,1.5,1.045636663135563
179,0.05,1.5,2.0,2.0,0.886517267696239
180,0.05,2.0,0.05,0.05,0.5024342461355488
181,0.05,2.0,0.05,0.1,0.5024342461355488
182,0.05,2.0,0.05,0.5,0.5024342461355488
183,0.05,2.0,0.05,1.0,0.5024342461355488
184,0.05,2.0,0.05,1.5,0.5024342461355488
185,0.05,2.0,0.05,2.0,0.5024342461355488
186,0.05,2.0,0.1,0.05,0.5039397004428131
187,0.05,2.0,0.1,0.1,0.5039397004428131
188,0.05,2.0,0.1,0.5,0.5039397004428131
189,0.05,2.0,0.1,1.0,0.5039397004428131
190,0.05,2.0,0.1,1.5,0.5269031472724605
191,0.05,2.0,0.1,2.0,0.5269031472724605
192,0.05,2.0,0.5,0.05,0.7344716990673834
193,0.05,2.0,0.5,0.1,0.7344716990673834
194,0.05,2.0,0.5,0.5,0.8059773264023838
195,0.05,2.0,0.5,1.0,0.8154491434491455
196,0.05,2.0,0.5,1.5,0.7184025677490163
197,0.05,2.0,0.5,2.0,0.7367637240807996
