,DAY_NO,FTRL_OPG_CUMILATIVE_GAIN,FTRL_RDA_CUMILATIVE_GAIN,FTL_CUMILATIVE_GAIN,FTRL_EXP_RDA_CUMILATIVE_GAIN,FTRL_MOVING_RDA_CUMILATIVE_GAIN,SGD_CUMILATIVE_GAIN
0,1,0.008112874779541335,0.008112874779541335,0.008112874779541335,0.008112874779541335,0.008112874779541335,0.00013778322106539827
1,2,0.014109347442680725,0.014109347442680725,0.014109347442680725,0.014109347442680725,0.014109347442680725,0.0026178812002448297
2,3,0.01155202821869478,0.025859912212908356,0.01155202821869478,0.01155202821869478,0.01155202821869478,-0.01997856705450102
3,4,-0.008465608465608534,0.010684469724551757,-0.008465608465608534,-0.008465608465608534,-0.008465608465608534,-0.044320269442743476
4,5,0.00808294883399177,0.014186494914172487,-0.03827160493827163,-0.03827160493827163,-0.03827160493827163,-0.046830985915493
5,6,0.03911149377074262,0.033330899284099325,-0.02733686067019407,-0.02733686067019407,-0.02733686067019407,-0.02270361298224133
6,7,0.03428483122502581,0.041502291393214465,-0.03368606701940041,-0.03368606701940041,-0.03368606701940041,-0.017146356399265223
7,8,0.0518676733558513,0.06391525260678735,-0.02663139329806005,-0.02663139329806005,-0.02663139329806005,0.005802204531536993
8,9,0.07600098608443522,0.08866289728010744,-0.023104056437389806,-0.023104056437389806,-0.023104056437389806,0.02829148805878736
9,10,0.09427335143607725,0.09146451743180399,-0.018430335097001788,-0.018430335097001788,-0.018430335097001788,0.028230251071647186
10,11,0.1140971440345569,0.09263185916167752,-0.023104056437389803,-0.023104056437389803,-0.023104056437389803,0.025719534598897666
11,12,0.1211647570479281,0.10780730165003427,-0.03439153439153443,-0.03439153439153443,-0.03439153439153443,0.021126760563380212
12,13,0.10806381585241102,0.09986937788689379,-0.011287477954144622,-0.011287477954144622,-0.011287477954144622,0.027617881200244894
13,14,0.11047714712526942,0.09730122608117191,-0.015873015873015962,-0.015873015873015962,-0.015873015873015962,0.035563380281689996
14,15,0.10461619974832755,0.09473307427545002,-0.014197530864197514,-0.014197530864197514,-0.014197530864197514,0.04588181261481922
15,16,0.13081808213936147,0.08983023900998094,-0.02813051146384489,-0.02813051146384489,-0.02813051146384489,0.041656460502143174
16,17,0.12909427408731985,0.09753469442714657,-0.01358024691358029,-0.01358024691358029,-0.01358024691358029,0.06096142069810155
17,18,0.13909236078916176,0.10920811172588245,-0.02081128747795413,-0.02081128747795413,-0.02081128747795413,0.06448254745866504
18,19,0.1580542493616207,0.11177626353160432,-0.014726631393298065,-0.014726631393298065,-0.014726631393298065,0.07157072872014696
