,alpha,beta,l1,l2,cum_gain
296,0.1,0.5,0.1,0.5,0.7977072310405636
297,0.1,0.5,0.1,1.0,0.7977072310405636
298,0.1,0.5,0.1,1.5,0.7977072310405636
299,0.1,0.5,0.1,2.0,0.7977072310405636
300,0.1,0.5,0.5,0.05,0.48555738718428654
301,0.1,0.5,0.5,0.1,0.48555738718428654
302,0.1,0.5,0.5,0.5,0.47819464750901053
303,0.1,0.5,0.5,1.0,0.41678741011722775
304,0.1,0.5,0.5,1.5,0.5255411680864709
305,0.1,0.5,0.5,2.0,0.5398596493205126
306,0.1,0.5,1.0,0.05,0.43866193564258105
307,0.1,0.5,1.0,0.1,0.46967697617910825
308,0.1,0.5,1.0,0.5,0.4346410700001603
309,0.1,0.5,1.0,1.0,0.41455963721973493
310,0.1,0.5,1.0,1.5,0.3195904257962518
311,0.1,0.5,1.0,2.0,0.3869311936439012
312,0.1,0.5,1.5,0.05,0.3015674166515587
313,0.1,0.5,1.5,0.1,0.3015674166515587
314,0.1,0.5,1.5,0.5,0.29875860730271536
315,0.1,0.5,1.5,1.0,0.29243926813395865
316,0.1,0.5,1.5,1.5,0.3080650552618298
317,0.1,0.5,1.5,2.0,0.260308792446668
318,0.1,0.5,2.0,0.05,0.30863668326974186
319,0.1,0.5,2.0,0.1,0.30668387984337364
320,0.1,0.5,2.0,0.5,0.24268472181854656
321,0.1,0.5,2.0,1.0,0.20732606156057432
322,0.1,0.5,2.0,1.5,0.22464463436173204
323,0.1,0.5,2.0,2.0,0.22183929132484181
324,0.1,1.0,0.05,0.05,0.7977072310405636
325,0.1,1.0,0.05,0.1,0.7977072310405636
326,0.1,1.0,0.05,0.5,0.7977072310405636
327,0.1,1.0,0.05,1.0,0.7977072310405636
328,0.1,1.0,0.05,1.5,0.6449323668189233
329,0.1,1.0,0.05,2.0,0.6449323668189233
330,0.1,1.0,0.1,0.05,0.7977072310405636
331,0.1,1.0,0.1,0.1,0.7977072310405636
332,0.1,1.0,0.1,0.5,0.7977072310405636
333,0.1,1.0,0.1,1.0,0.7977072310405636
334,0.1,1.0,0.1,1.5,0.6449323668189233
335,0.1,1.0,0.1,2.0,0.6449323668189233
336,0.1,1.0,0.5,0.05,0.44149095694301155
337,0.1,1.0,0.5,0.1,0.44502463314762025
338,0.1,1.0,0.5,0.5,0.3390930550472912
339,0.1,1.0,0.5,1.0,0.3138884652370906
340,0.1,1.0,0.5,1.5,0.39010485858122207
341,0.1,1.0,0.5,2.0,0.4200664702549017
342,0.1,1.0,1.0,0.05,0.24921013997640193
343,0.1,1.0,1.0,0.1,0.25387755996065914
344,0.1,1.0,1.0,0.5,0.20609184575678277
345,0.1,1.0,1.0,1.0,0.27405820783395846
346,0.1,1.0,1.0,1.5,0.31161050355469383
347,0.1,1.0,1.0,2.0,0.20694668729653934
348,0.1,1.0,1.5,0.05,0.2322836756298671
349,0.1,1.0,1.5,0.1,0.18941831020658584
350,0.1,1.0,1.5,0.5,0.20066402720347234
351,0.1,1.0,1.5,1.0,0.26297147641604124
352,0.1,1.0,1.5,1.5,0.18090551451584755
353,0.1,1.0,1.5,2.0,0.3376710990176645
354,0.1,1.0,2.0,0.05,0.3462362071417453
355,0.1,1.0,2.0,0.1,0.3462362071417453
356,0.1,1.0,2.0,0.5,0.3444123669879045
357,0.1,1.0,2.0,1.0,0.38535080054317844
358,0.1,1.0,2.0,1.5,0.3978549145940413
